GLOSA,PONDERADOR
ARROZ,0.18033
HARINA,0.09428
CEREAL,0.22167
PAN,2.08381
GALLETA,0.42102
PRODUCTOSDEREPOSTERIA,0.56276
MASASSALADASPREPARADAS,0.10138
SNACK,0.10349
PASTAS,0.26583
CARNEDEVACUNO,1.83118
CARNEDECERDO,0.45693
CARNEDEPAVO,0.07385
CARNEDEPOLLO,0.91573
CECINAS,0.98478
HAMBURGUESA,0.12905
PESCADOS,0.26577
MARISCOS,0.08082
PESCADOSENCONSERVA,0.20353
MARISCOSENCONSERVA,0.0223
LECHEENPOLVO,0.18644
LECHELIQUIDA,0.45256
LECHECONSERVADA,0.08348
YOGHURT,0.37669
POSTRESLACTEOS,0.07293
QUESO,0.84248
HUEVOS,0.40773
MANTEQUILLA,0.16426
MARGARINA,0.07462
ACEITEVEGETAL,0.29183
MANZANA,0.11296
NARANJA,0.1119
PERA,0.03486
PLATANO,0.14182
FRUTASDEESTACION,0.3918
FRUTOSSECOS,0.13142
FRUTASENCONSERVA,0.0484
ACELGAYESPINACA,0.04289
CEBOLLAYCEBOLLIN,0.13303
LECHUGA,0.17469
LIMON,0.13543
PALTA,0.33389
PIMENTONYPIMIENTO,0.0516
TOMATE,0.32495
ZANAHORIA,0.06898
ZAPALLO,0.0856
ZAPALLOITALIANO,0.03675
VERDURASDEESTACION,0.30569
VERDURASCONGELADAS,0.11295
VERDURASENCONSERVA,0.04367
VERDURASENCURTIDAS,0.0731
LEGUMBRES,0.14401
PAPA,0.3362
PAPASCONGELADASYDESHIDRATADAS,0.05833
PAPASFRITAS,0.12454
AZUCAR,0.13136
ENDULZANTE,0.04307
MERMELADA,0.07621
MANJARYDULCESUNTABLES,0.07214
CARAMELOSYGOMADEMASCAR,0.09733
CHOCOLATE,0.25488
HELADO,0.25363
SAL,0.02511
HIERBASESPECIASYCONDIMENTOS,0.09706
SALSAS,0.10893
ADEREZOS,0.19046
SOPASYCREMAS,0.087
ALIMENTOSPARABEBE,0.1037
POSTRESNOLACTEOS,0.08544
CAFEYSUCEDANEOS,0.15522
TE,0.17671
SABORIZANTEPARALECHE,0.05023
AGUAEMBOTELLADA,0.21102
BEBIDAGASEOSA,1.08369
BEBIDAISOTONICAYENERGIZANTE,0.06007
JUGOLIQUIDO,0.32951
JUGOENPOLVO,0.09755
PISCO,0.23562
RON,0.07718
WHISKY,0.14032
VODKA,0.05614
VINO,0.86682
VINOESPUMOSO,0.10253
CERVEZA,1.39219
CIGARRILLOS,1.90687
TELASPARACONFECCIONDEVESTUARIO,0.03406
ROPADEABRIGOPARAHOMBRE,0.17216
PANTALONLARGOYCORTOPARAHOMBRE,0.23837
CAMISAYPOLERAPARAHOMBRE,0.19681
ROPAINTERIORYDEDORMIRPARAHOMBRE,0.0398
ROPADEABRIGOPARAMUJER,0.20708
Pantalonfaldayvestidoparamujer,0.28385
BLUSAYPOLERAPARAMUJER,0.16895
ROPADEPORTIVAYDEBANOPARAMUJER,0.02628
ROPAINTERIORYDEDORMIRPARAMUJER,0.08361
ROPADEABRIGOINFANTIL,0.05708
PANTALONFALDAYVESTIDOINFANTIL,0.07989
CAMISABLUSAYPOLERAINFANTIL,0.05971
ROPADEPORTIVASHORTSBERMUDASYTRAJESDEBANOINFANTIL,0.03397
ROPAINTERIORYDEDORMIRINFANTIL,0.02386
VESTUARIOPARALACTANTE,0.02277
UNIFORMEYROPADEPORTIVAESCOLAR,0.39907
ARTICULOSPARAREPARACIONDEVESTUARIO,0.03652
ACCESORIOSDEVESTIR,0.08105
SERVICIODELIMPIEZAYREPARACIONDEVESTUARIO,0.06004
ZAPATILLASPARAHOMBRE,0.23515
ZAPATOSPARAHOMBRE,0.15246
ZAPATILLASPARAMUJER,0.14788
ZAPATOSPARAMUJER,0.14463
CALZADODEESTACIONPARAMUJER,0.18584
ZAPATILLAINFANTIL,0.1438
ZAPATOINFANTIL,0.04193
CALZADOESCOLAR,0.14934
ARRIENDO,5.52872
MATERIALESPARALAREPARACIONDELAVIVIENDA,0.46731
PINTURAYBARNIZ,0.15008
GRIFERIAYACCESORIOS,0.15152
SELLANTESYPEGAMENTOS,0.05354
SERVICIOSPARALACONSERVACIONYREPARACIONDELAVIVIENDA,0.8895
AGUAPOTABLE,1.65637
SERVICIODERETIRODEBASURA,0.09053
SERVICIODEALARMAPARALAVIVIENDA,0.08189
GASTOCOMUN,1.36955
ELECTRICIDAD,2.27238
GASPORRED,0.46326
GASLICUADO,1.1474
CARBON,0.04009
PARAFINA,0.11292
LENA,0.35214
CAMA,0.24409
COLCHON,0.04889
MUEBLESDECOMEDOR,0.12316
MUEBLESPARACOCINA,0.08476
MUEBLESPARALIVING,0.31192
ALFOMBRAYOTROSREVESTIMIENTOSPARAPISOS,0.05674
ARTICULOSORNAMENTALES,0.11403
SERVICIODEREPARACIONDEMUEBLES,0.02258
